loss,weight_order,prod_distance_order,time_delivery_order,lambda
9166592604,1,3,3,0.4,615059.9231695875 90969.2711534889 -30400.95525975271 26207.55824653426 12693.26751108414 -2289.443818153132 1722.6656787379657 800.9637452022758
9166592789,1,3,3,0.6,615059.9276666126 90969.27123189325 -30400.99656050017 26207.55601638008 12693.284898498145 -2289.406756880859 1722.6643413792772 800.9459325435662
9166592666,1,3,3,0.8,615059.9252578189 90969.27114927379 -30400.969646168138 26207.557368966085 12693.273574821698 -2289.4416771184788 1722.6648970447327 800.9627689404634
9166592613,1,3,3,1.0,615059.9247998712 90969.27112308398 -30400.959006250418 26207.557736563023 12693.269097477529 -2289.452514164022 1722.6649220746733 800.9679839640226
9354452861,1,3,4,0.0,589776.4644846407 91070.78902373023 -30817.76694001961 26495.522208705515 12775.573647905017 -1282.0977254564464 73417.20378029715 394.2950232035157 -26399.920070627155
9354452170,1,3,4,0.2,589776.5130731063 91070.78893276157 -30817.756177979376 26495.51988598036 12775.569260007784 -1282.0635607907325 73417.08090835312 394.27825470326337 -26399.875805768927
9354453271,1,3,4,0.4,589776.4370035364 91070.78912711074 -30817.775614213853 26495.523147458087 12775.577207708167 -1282.098175141366 73417.27520640069 394.29535759792185 -26399.94586220537
9354452921,1,3,4,0.6,589776.4523366106 91070.78916184281 -30817.748966077786 26495.522699771223 12775.566014385884 -1282.066072543092 73417.23624493387 394.27961233451174 -26399.931835299987
9354452311,1,3,4,0.8,589776.5089843655 91070.78896773054 -30817.77088173857 26495.519665677813 12775.575435300581 -1282.05559656101 73417.09266081217 394.2744651572149 -26399.880065012814
9354452930,1,3,4,1.0,589776.4601580687 91070.78921728682 -30817.76678851943 26495.521550331214 12775.573529322552 -1282.0339124462175 73417.21950699415 394.26405808282624 -26399.925875013236
9286017024,1,4,1,0.0,602475.2728809627 90821.34540544108 -36492.38561870609 70493.28639516886 15958.517033922144 -14809.400719623576 -737.5782189396791
9286016324,1,4,1,0.2,602475.3076398292 90821.34571801029 -36492.3411851957 70493.19103836965 15958.49686346443 -14809.369717980706 -737.578476502454
9286017184,1,4,1,0.4,602475.2465756878 90821.34520921059 -36492.35271213115 70493.35248859055 15958.504123656792 -14809.421317576283 -737.5787142831301
9286017045,1,4,1,0.6,602475.2620287406 90821.34532935737 -36492.36400342455 70493.31292831039 15958.50830321183 -14809.408871256446 -737.5785067018338
9286017231,1,4,1,0.8,602475.2407814764 90821.34516467332 -36492.3476340347 70493.36724485617 15958.502198944256 -14809.425948038677 -737.5788008760144
