loss,weight_order,prod_distance_order,time_delivery_order,lambda,alpha,thetas
69287838255705728,2,1,2,1.0,0.001,600421.0196941192 90947.30469424653 10342.422273664866 -3909.0715236933056 433.5881253675291 21186.073514931275
69312559123970256,2,1,3,0.0,0.001,600386.4871274983 90978.27987959584 10355.06843965368 -3910.2158068588897 1022.8412498914057 21199.068380344022 -349.94199342724716
69307647694104528,2,1,3,0.2,0.001,600393.7996443204 90972.15830207999 10352.242863758209 -3909.997703129295 1022.6132413526034 21195.559038810752 -349.86902372016897
69302736382438064,2,1,3,0.4,0.001,600401.119481552 90966.03799823452 10349.41467684101 -3909.7781022948907 1021.9390042575217 21192.048136307225 -349.57834649491394
69297830835423928,2,1,3,0.6,0.001,600408.3857036387 90959.91792478992 10346.607967885744 -3909.559438441077 1021.7041521294119 21188.55661820045 -349.5017927176575
69292923007044928,2,1,3,0.8,0.001,600415.6881943108 90953.79910540755 10343.786664910645 -3909.340031411947 1021.122333004804 21185.052614468856 -349.2561143352671
69288014370414832,2,1,3,1.0,0.001,600423.0134690864 90947.68102142506 10340.956325434518 -3909.1217016044893 1020.7607752362119 21181.53944989093 -349.11803018704194
70278226992880808,2,1,4,0.0,0.001,584687.9681247572 90674.4297928904 4999.237723252698 -4342.953479490347 1547.5669551833341 118655.86207915415 -804.1026431700176 -40658.93070271258
70271529303929104,2,1,4,0.2,0.001,584704.5132461352 90668.49278208498 4999.516930889267 -4342.507992651461 1546.8064681065196 118600.96215396088 -803.6915353037657 -40638.324008955526
70264834398210640,2,1,4,0.4,0.001,584721.0503906813 90662.5565630756 4999.798607313975 -4342.062298273068 1545.9885806993648 118546.07662747121 -803.2524065258207 -40617.72239456129
70258161881820688,2,1,4,0.6,0.001,584737.4427409831 90656.61920960294 5000.079936550535 -4341.618169317304 1545.3172648320804 118491.61328568631 -802.8849749484644 -40597.2761276142
70251479537715656,2,1,4,0.8,0.001,584753.9304059069 90650.683894849 5000.351514797241 -4341.172885387106 1544.3603786700971 118436.92980915672 -802.3781862200555 -40576.750678074044
70244796331892224,2,1,4,1.0,0.001,584770.447385807 90644.74957842518 5000.625929551914 -4340.728559133117 1543.7623578442997 118382.1506639077 -802.0464563280595 -40556.19041708545
74041845371981776,2,2,1,0.0,0.001,586181.6849094242 91077.76347292672 7996.437694118785 -4931.206737824009 39582.33597258576 -493.3223157324001
74036241801324688,2,2,1,0.2,0.001,586188.6859561199 91071.60357087344 7993.936534119478 -4930.812304603386 39578.68061168734 -493.25604828730485
74030640929824240,2,2,1,0.4,0.001,586195.6743719808 91065.44449153762 7991.441329884755 -4930.417862137205 39575.02913729293 -493.1897182831403
74025039565189776,2,2,1,0.6,0.001,586202.6747120181 91059.28628170241 7988.94068753622 -4930.023543480443 39571.37426459142 -493.12344145851205
74019439127640928,2,2,1,0.8,0.001,586209.6762906219 91053.1289105401 7986.439416783977 -4929.629342614496 39567.719300602876 -493.0571789781235
74013839761172256,2,2,1,1.0,0.001,586216.677391281 91046.97234207692 7983.938525314597 -4929.2351326949965 39564.064560109226 -492.99091786421343
76813844207551952,2,2,2,0.0,0.001,549852.3164212222 90759.07170687566 13277.855806244757 -4793.318244330184 43397.348910290784 64.52131814201262 23150.670569296715
76807769776736576,2,2,2,0.2,0.001,549862.4548800793 90752.97778313752 13275.264614424648 -4792.944460359399 43393.67433921849 64.4695730723306 23147.52886494891
76801698767829232,2,2,2,0.4,0.001,549872.5772002668 90746.88464044947 13272.678972933953 -4792.57062897876 43390.003377709596 64.41785688502283 23144.391477311252
76795624657346416,2,2,2,0.6,0.001,549882.7282959478 90740.79238684152 13270.083790717408 -4792.196976323743 43386.32640233843 64.36602630910626 23141.246367710195
76789553328697328,2,2,2,0.8,0.001,549892.867677577 90734.70092848105 13267.492746778438 -4791.823330659702 43382.65209742226 64.31421368249062 23138.104304420867
76783489736343008,2,2,2,1.0,0.001,549902.9610398723 90728.6101101631 13264.915892621138 -4791.449584266773 43378.98765407043 64.26285114760876 23134.976139931834
76815614194470144,2,2,3,0.0,0.001,549851.5616485841 90759.20928914243 13276.761325427084 -4794.348716001962 43398.70373695264 931.1888522345788 23145.763814782826 -491.9173283309742
76809539851413728,2,2,3,0.2,0.001,549861.6967150691 90753.1152467686 13274.171522715993 -4793.974966382399 43395.02942978582 931.0086458049664 23142.624094435578 -491.8438760773299
76803469117564448,2,2,3,0.4,0.001,549871.8128830929 90747.02220096366 13271.58786440253 -4793.600079174232 43391.359578269126 930.5222141907542 23139.49046083235 -491.62094729454174
76797395185078016,2,2,3,0.6,0.001,549881.9591198248 90740.92997613248 13268.994516973054 -4793.225807082105 43387.68343258335 930.1408425599308 23136.348141525596 -491.44936517109716
76791329877954816,2,2,3,0.8,0.001,549892.0524544845 90734.83853961068 13266.417942308757 -4792.850689798617 43384.018748603914 929.5921406596315 23133.221686124598 -491.195983054137
76785254620949632,2,2,3,1.0,0.001,549902.2233149855 90728.74796378842 13263.81720316142 -4792.477069497101 43380.337475036264 929.343340822402 23130.071866104845 -491.08915708878044
75897457408766784,2,2,4,0.0,0.001,539375.2082638196 90519.85543794774 9208.360016037323 -5087.5268090882455 40020.643880582924 1385.2886941187464 108742.67413219751 -881.2308673522462 -36129.22820074182
75890975221878224,2,2,4,0.2,0.001,539391.8136607923 90513.90710586058 9208.062152963012 -5087.009042333083 40018.85816752618 1384.711482036031 108695.65909309317 -880.9057945816483 -36111.6063576865
75884482065983872,2,2,4,0.4,0.001,539408.5351624833 90507.96106693843 9207.762210438465 -5086.490572667571 40017.07241253984 1384.116832321067 108648.3221110266 -880.5721050541172 -36093.866890645295
75878013603517376,2,2,4,0.6,0.001,539425.0423788638 90502.01335559662 9207.464626262205 -5085.972564294846 40015.286064222026 1383.2531673933584 108601.59803111079 -880.1073686566488 -36076.35186738779
75871522868861632,2,2,4,0.8,0.001,539441.7732096198 90496.06900958203 9207.161344360871 -5085.453984531033 40013.49810993715 1382.5844136780865 108554.26451409646 -879.7375429666931 -36058.61462537112
75865050280820128,2,2,4,1.0,0.001,539458.3594571818 90490.12359750234 9206.861161748695 -5084.936608311726 40011.71053420068 1382.0043278788949 108507.33451274081 -879.4111257040443 -36041.02527415416
74167948617491664,2,3,1,0.0,0.001,586470.2284061012 91082.44583470594 8040.182289112032 -19899.708524446225 39051.22130754388 8154.773341519911 -533.2400656096266
74162263294657200,2,3,1,0.2,0.001,586477.1737594325 91076.28050589091 8037.674239074758 -19895.76962245335 39047.673576074885 8153.187269146614 -533.1709342423076
74156578378853552,2,3,1,0.4,0.001,586484.1156240623 91070.11590599535 8035.167474844338 -19891.791415325355 39044.12800509666 8151.5845746691775 -533.1018568500534
74150896808512448,2,3,1,0.6,0.001,586491.0670059721 91063.95246165723 8032.657433770402 -19887.9355416253 39040.576939737315 8150.033573526644 -533.0326703052838
74145216312551200,2,3,1,0.8,0.001,586498.0064264028 91057.78969320835 8030.152443889122 -19884.02494563932 39037.03093386095 8148.459419880325 -532.9635626429781
74139537752737712,2,3,1,1.0,0.001,586504.9123356527 91051.62741114992 8027.661856981855 -19879.991134066826 39033.49801031076 8146.83313381556 -532.8945317811854
76970851451982096,2,3,2,0.0,0.001,550102.6421638646 90764.8667793841 13302.124103478413 -20383.402610430687 42837.17046069924 8383.241528878929 27.658616979364727 23243.842112397946
76964681644513120,2,3,2,0.2,0.001,550112.7111069469 90758.76663625237 13299.539944298536 -20379.091298364096 42833.62380401691 8381.491442066235 27.608817825071576 23240.676331275907
76958510342570432,2,3,2,0.4,0.001,550122.8040326184 90752.66751113826 13296.948247942262 -20374.809098388287 42830.071433620185 8379.75366725241 27.55889213494924 23237.504081422743
76952329768900384,2,3,2,0.6,0.001,550132.9313110862 90746.56890515366 13294.345599325281 -20370.34307272634 42826.51673106927 8377.938247256803 27.508478720195047 23234.31951930134
76946167974132880,2,3,2,0.8,0.001,550142.9837088346 90740.47131796913 13291.766585207513 -20366.110793247746 42822.97197001143 8376.221512067053 27.458912693972053 23231.160084857227
76940001175482048,2,3,2,1.0,0.001,550153.0582393926 90734.37445125461 13289.180747784842 -20361.77912379714 42819.42522998774 8374.462797254246 27.409079339530965 23227.992824277688
76972157084478176,2,3,3,0.0,0.001,550101.9198547868 90764.9660046924 13301.137801008832 -20381.714424640562 42838.495107400704 8381.64266769768 851.5629968088631 23239.279503124824 -463.32981965667045
76965983469972432,2,3,3,0.2,0.001,550111.9750274144 90758.86550389015 13298.558008869002 -20377.216462141787 42834.95597620897 8379.814280622613 851.1365746709764 23236.11692010368 -463.1377699927768
76959816526613856,2,3,3,0.4,0.001,550122.0612652054 90752.7666893846 13295.968754916252 -20373.060324260274 42831.4014725982 8378.130190267913 850.7919681499304 23232.94956461033 -462.98547312637515
76953643901137968,2,3,3,0.6,0.001,550132.1397596368 90746.66805562227 13293.381556347009 -20368.635450310438 42827.855797784345 8376.332624364564 850.400390067688 23229.781375338214 -462.8104349721752
76947478233301040,2,3,3,0.8,0.001,550142.1576877933 90740.56969476989 13290.813463319211 -20364.11176304443 42824.32558286952 8374.49312864089 850.0823096427307 23226.629463999092 -462.6711601111059
76941302588675520,2,3,3,1.0,0.001,550152.317834815 90734.47349900946 13288.200980433216 -20359.910546780055 42820.75704104032 8372.789963630956 849.7755392813565 23223.44011741601 -462.5375689575825
76031688259331200,2,3,4,0.0,0.001,539629.4482179737 90525.11156067176 9237.231750204457 -20529.874682895654 39466.38868743787 8340.90813584161 1306.3184344857043 108777.85078160309 -853.205434557218 -36105.49086237561
76025132382589552,2,3,4,0.2,0.001,539645.8516385201 90519.15563679225 9236.93521965675 -20525.430629137365 39464.726678075815 8339.146758068873 1305.569845794275 108731.22871144835 -852.7981053174545 -36088.021093883406
76018546844219952,2,3,4,0.4,0.001,539662.553317379 90513.20396437072 9236.625585685062 -20521.02403075049 39463.057731566776 8337.401686662042 1304.996284982056 108683.83490592803 -852.4759332149459 -36070.27078795739
76011988415152960,2,3,4,0.6,0.001,539678.9807953327 90507.24985329728 9236.342084595175 -20516.425024818564 39461.40905710449 8335.574696939104 1304.394615446852 108637.04633585327 -852.140282034958 -36052.73841250391
76005415273395248,2,3,4,0.8,0.001,539695.6083203227 90501.29903645732 9236.02413541832 -20512.07228370737 39459.732539033146 8333.852691991418 1303.4783328108253 108589.93786053333 -851.6509936235846 -36035.09423818262
75998850038859216,2,3,4,1.0,0.001,539712.1630397137 90495.34807616139 9235.730457628739 -20507.582722535728 39458.075016777635 8332.071970154017 1303.031538474143 108542.86257856892 -851.3907901962928 -36017.45890461742
75903658701704288,2,4,1,0.0,0.001,571928.5059433879 91308.76199355535 4375.132445735353 -26450.4307035772 114564.51876939395 12638.587130057413 -27157.86783682621 -441.75473397998354
75895576309358080,2,4,1,0.2,0.001,571944.0982835771 91302.46252862099 4375.029682636898 -26442.259007910023 114515.31781014972 12634.19687758592 -27141.60984881326 -441.7361869738624
